yyyymm,ra_bex_PAPER,unc_bex_AnnualVolPercentage
4/30/2016,2.830528132,2.442947915
5/31/2016,2.786713654,2.473030294
6/30/2016,2.759807881,2.509451039
7/31/2016,2.71718517,2.421095162
8/31/2016,2.760921051,2.382235049
9/30/2016,2.697494332,2.39543785
10/31/2016,2.854853207,2.332190878
11/30/2016,2.709634262,2.232324433
12/31/2016,2.676880788,2.060735564
1/31/2017,2.605864523,1.997699564
2/28/2017,2.624693442,1.969326243
3/31/2017,2.623531181,2.035023491
4/30/2017,2.580713879,2.054119564
5/31/2017,2.556640685,2.048780247
6/30/2017,2.553362509,1.95610803
7/31/2017,2.527336623,1.926288263
8/31/2017,2.529663477,1.993503343
9/30/2017,2.50979042,1.888872001
10/31/2017,2.495408611,1.797343881
11/30/2017,2.511534722,1.783965821
12/31/2017,2.506997243,1.750260243
1/31/2018,2.506964327,1.511371242
2/28/2018,2.578539799,1.678278551
3/31/2018,2.716452444,1.863328031
4/30/2018,2.582548459,1.776889417
5/31/2018,2.678190122,1.939178387
6/30/2018,2.687680399,1.920564064
7/31/2018,2.547273994,1.774974543
8/31/2018,2.565804869,1.848036255
9/30/2018,2.542890964,1.770433389
10/31/2018,2.782852072,2.02613306
11/30/2018,2.730808837,2.148279719
12/31/2018,3.083247396,2.471524961
1/31/2019,2.733362663,2.33707677
2/28/2019,2.702784149,2.174379609
3/31/2019,2.681313603,2.260166696
4/30/2019,2.649600336,2.126133192
5/31/2019,2.860984731,2.349277162
6/30/2019,2.749041548,2.292909869
7/31/2019,2.751602357,2.145518943
8/31/2019,2.812429194,2.383673113
9/30/2019,3.01503117,2.530439403
10/31/2019,2.631046177,2.131653343
11/30/2019,2.641799013,2.051289971
12/31/2019,2.657383667,1.965314296
1/31/2020,2.867443125,2.138876027
2/29/2020,4.792238206,2.545227562
3/31/2020,5.678783347,4.413527461
4/30/2020,3.972451627,3.058169409
5/31/2020,3.57086885,2.760018544
6/30/2020,3.543531604,2.568225544
7/31/2020,3.260224615,2.369008705
8/31/2020,3.463436561,2.370781781
9/30/2020,2.92050394,2.390333393
10/31/2020,4.623384551,2.485496231
11/30/2020,2.956179591,2.094271547
12/31/2020,3.081397873,1.950496569
1/31/2021,3.916174059,2.09117611
2/28/2021,3.42078469,1.988357231
3/31/2021,2.812376726,1.65226681
4/30/2021,2.783167176,1.502538682
5/31/2021,2.674381728,1.471264718
6/30/2021,2.693100726,1.458715854
7/31/2021,2.782660605,1.559191762
8/31/2021,2.715918351,1.467408685
9/30/2021,3.015269832,1.483382178
10/31/2021,2.629289717,1.181255305
11/30/2021,3.403815897,1.725286715
12/31/2021,2.649631294,1.385414138
1/31/2022,3.159951701,1.727520744
2/28/2022,3.61641193,2.104447842
3/31/2022,3.062994731,2.029913717
4/30/2022,3.914356201,1.98031924
5/31/2022,3.081342711,2.043513872
6/30/2022,3.581475484,2.411743799
7/31/2022,3.061693604,2.267859926
8/31/2022,3.416335155,2.356865541
9/30/2022,4.159957242,2.658693753
10/31/2022,3.37711558,2.59842781
11/30/2022,3.025820517,2.552602058
12/31/2022,3.121908147,2.39622932
1/31/2023,3.031513936,2.39622932
2/28/2023,3.037143956,2.187484036
3/31/2023,2.951643754,2.42826815
4/30/2023,2.82786671,2.379290731
5/31/2023,3.031395566,2.581422938
6/30/2023,2.691365016,2.194673219
7/31/2023,2.744372549,2.194883666
8/31/2023,2.757303132,2.26397968
9/30/2023,2.818736885,2.059688903
10/31/2023,3.086323107,2.417211193
11/30/2023,2.824365222,2.284294388
12/31/2023,2.794114893,2.268411974
1/31/2024,2.664758332,1.997370882
